Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,MixedC_StainedSYTO9,1,A1,Sample1,10/12/2017 2:14:31 PM,406380,3040,172880,48543,29343,5707
1,MixedC_StainedSYTO9,1,A2,Sample2,10/12/2017 2:16:03 PM,797940,5480,551480,52543,50404,12526
1,MixedC_StainedSYTO9,1,A3,Sample3,10/12/2017 2:17:34 PM,463840,2140,274640,43668,73305,9162
1,MixedC_StainedSYTO9,1,A1,Sample4,10/12/2017 2:19:06 PM,299780,920,131560,48711,49210,7354
1,MixedC_StainedSYTO9,1,A2,Sample5,10/12/2017 2:20:37 PM,776100,4640,529160,50832,55285,13079
1,MixedC_StainedSYTO9,1,A3,Sample6,10/12/2017 2:22:09 PM,448760,1340,251360,44860,39644,10567
1,MixedC_StainedSYTO9,1,G1,Sample10,10/12/2017 2:23:40 PM,190970,100,14410,3464,54565,5658
1,MixedC_StainedSYTO9,1,C1,Sample11,10/12/2017 2:25:59 PM,239460,92520,13340,11606,21105,3902
1,MixedC_StainedSYTO9,1,C2,Sample12,10/12/2017 2:27:30 PM,298480,160560,19660,15218,16976,3810
1,MixedC_StainedSYTO9,1,C3,Sample13,10/12/2017 2:29:02 PM,307580,157200,20080,16794,26052,3999
1,MixedC_StainedSYTO9,1,C1,Sample14,10/12/2017 2:30:33 PM,244400,83980,12780,11146,21725,3978
1,MixedC_StainedSYTO9,1,C2,Sample15,10/12/2017 2:32:05 PM,289380,148760,15600,12309,16918,3858
1,MixedC_StainedSYTO9,1,C3,Sample16,10/12/2017 2:33:36 PM,303160,149320,18240,13270,26145,4010
1,MixedC_StainedSYTO9,1,G2,Sample20,10/12/2017 2:35:08 PM,187330,380,12810,1620,16886,3635
1,MixedC_StainedSYTO9,1,E1,Sample21,10/12/2017 2:37:26 PM,390000,107420,120360,57339,21855,3949
1,MixedC_StainedSYTO9,1,E2,Sample22,10/12/2017 2:38:58 PM,364520,105260,103360,57777,21318,3824
1,MixedC_StainedSYTO9,1,E3,Sample23,10/12/2017 2:40:29 PM,401700,123700,115440,51159,23164,3766
1,MixedC_StainedSYTO9,1,E1,Sample24,10/12/2017 2:42:01 PM,382460,98700,117680,55925,19347,3962
1,MixedC_StainedSYTO9,1,E2,Sample25,10/12/2017 2:43:32 PM,365300,99980,100320,58288,20895,3831
1,MixedC_StainedSYTO9,1,E3,Sample26,10/12/2017 2:45:04 PM,411580,121940,116080,51795,23388,3822
1,MixedC_StainedSYTO9,1,G3,Sample30,10/12/2017 2:46:35 PM,190970,340,11030,3178,13641,3146
2,Toluene_StainedSYTO9,1,A4,Sample1,10/12/2017 2:48:53 PM,593580,3540,341300,139214,133972,19177
2,Toluene_StainedSYTO9,1,A5,Sample2,10/12/2017 2:50:25 PM,153660,160,17720,43937,227503,3768
2,Toluene_StainedSYTO9,1,A6,Sample3,10/12/2017 2:51:56 PM,484380,1960,277060,98313,100829,16624
2,Toluene_StainedSYTO9,1,A4,Sample4,10/12/2017 2:53:28 PM,594360,2960,337120,128627,109837,22849
2,Toluene_StainedSYTO9,1,A5,Sample5,10/12/2017 2:54:59 PM,156000,180,17220,37481,199135,5434
2,Toluene_StainedSYTO9,1,A6,Sample6,10/12/2017 2:56:31 PM,504140,2040,284980,93587,89039,14981
2,Toluene_StainedSYTO9,1,G4,Sample10,10/12/2017 2:58:02 PM,197600,70,24770,3773,27657,2192
2,Toluene_StainedSYTO9,1,C4,Sample11,10/12/2017 3:00:21 PM,2923960,2603860,143780,54172,80366,4707
2,Toluene_StainedSYTO9,1,C5,Sample12,10/12/2017 3:01:52 PM,1668680,1359580,128200,55091,82176,4776
2,Toluene_StainedSYTO9,1,C6,Sample13,10/12/2017 3:03:24 PM,4220840,3866140,164400,46405,59702,4974
2,Toluene_StainedSYTO9,1,C4,Sample14,10/12/2017 3:04:55 PM,2995460,2689380,135860,51596,78689,4787
2,Toluene_StainedSYTO9,1,C5,Sample15,10/12/2017 3:06:27 PM,1648400,1345580,122840,52610,80479,4896
2,Toluene_StainedSYTO9,1,C6,Sample16,10/12/2017 3:07:58 PM,4236700,3896060,156140,44328,58575,5044
2,Toluene_StainedSYTO9,1,G5,Sample17,10/12/2017 3:09:30 PM,201890,6160,14780,2012,48405,4254
2,Toluene_StainedSYTO9,1,E4,Sample18,10/12/2017 3:11:48 PM,6040840,5261440,441500,38320,60612,4628
2,Toluene_StainedSYTO9,1,E5,Sample19,10/12/2017 3:13:20 PM,2154100,1879160,116180,55689,80951,4884
2,Toluene_StainedSYTO9,1,E6,Sample20,10/12/2017 3:14:51 PM,2289040,1979040,148760,76971,75120,5028
2,Toluene_StainedSYTO9,1,E4,Sample21,10/12/2017 3:16:23 PM,6043440,5311720,416020,36529,59129,4700
2,Toluene_StainedSYTO9,1,E5,Sample22,10/12/2017 3:17:54 PM,2161640,1893060,110160,52530,79365,5000
2,Toluene_StainedSYTO9,1,E6,Sample23,10/12/2017 3:19:26 PM,2275520,1971800,143800,74822,74089,5155
