Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,Specimen1,1,A1,Sample1,10/13/2017 5:02:35 PM,100880,20,1980,51363,2254,2189
1,Specimen1,1,B1,Sample2,10/13/2017 5:04:07 PM,40040,0,1020,34762,0,0
1,Specimen1,1,C1,Sample3,10/13/2017 5:05:38 PM,29640,80,820,35895,2606,12225
1,Specimen1,1,D1,Sample4,10/13/2017 5:07:10 PM,23920,0,520,67580,0,0
2,Specimen2,1,A2,Sample1,10/13/2017 5:08:41 PM,37698220,36262000,1123900,34003,43962,9689
2,Specimen2,1,B2,Sample2,10/13/2017 5:10:13 PM,37733660,36396760,1010220,28119,36562,9073
2,Specimen2,1,C2,Sample3,10/13/2017 5:11:44 PM,37671800,36393520,970500,29900,37774,9201
2,Specimen2,1,D2,Sample4,10/13/2017 5:13:16 PM,37705320,36373400,1026740,31489,40191,9321
2,Specimen2,1,A2,Sample5,10/13/2017 5:14:48 PM,37697460,36342340,1052000,33122,42581,9522
2,Specimen2,1,B2,Sample6,10/13/2017 5:16:19 PM,37731220,36457220,960520,27092,35371,8937
2,Specimen2,1,C2,Sample7,10/13/2017 5:17:51 PM,37647880,36365200,968180,28620,37082,9142
2,Specimen2,1,D2,Sample8,10/13/2017 5:19:22 PM,37711800,36409760,994960,30749,39342,9245
2,Specimen2,1,E1,Sample9,10/13/2017 5:20:54 PM,241800,225610,1490,36255,27961,5824
3,Specimen3,1,A3,Sample1,10/13/2017 5:23:12 PM,12887680,12755780,97260,79455,98149,8708
3,Specimen3,1,B3,Sample2,10/13/2017 5:24:44 PM,12707240,12588340,86960,87263,97621,8785
3,Specimen3,1,C3,Sample3,10/13/2017 5:26:15 PM,12607400,12488900,85900,83345,97382,8662
3,Specimen3,1,D3,Sample4,10/13/2017 5:27:47 PM,12689560,12568240,87260,82089,96251,8635
3,Specimen3,1,A3,Sample5,10/13/2017 5:29:18 PM,12740000,12607520,98260,76482,97921,8594
3,Specimen3,1,B3,Sample6,10/13/2017 5:30:50 PM,12752480,12634340,86760,83583,97816,8753
3,Specimen3,1,C3,Sample7,10/13/2017 5:32:22 PM,12592060,12469700,89020,82913,97176,8585
3,Specimen3,1,D3,Sample8,10/13/2017 5:33:53 PM,12797980,12675560,88860,81499,95834,8562
3,Specimen3,1,E2,Sample9,10/13/2017 5:35:25 PM,53040,39170,370,47678,93456,6048
4,Specimen4,1,A4,Sample1,10/13/2017 5:37:43 PM,1301560,1277960,5020,41372,92116,6516
4,Specimen4,1,B4,Sample2,10/13/2017 5:39:14 PM,1286220,1259300,4860,51873,90899,6568
4,Specimen4,1,C4,Sample3,10/13/2017 5:40:46 PM,1278160,1251240,4880,52211,92844,6590
4,Specimen4,1,D4,Sample4,10/13/2017 5:42:17 PM,1279980,1253040,5280,61892,93069,6645
4,Specimen4,1,A4,Sample5,10/13/2017 5:43:49 PM,1311440,1288520,4480,41436,91016,6563
4,Specimen4,1,B4,Sample6,10/13/2017 5:45:20 PM,1317940,1292600,4560,50397,89741,6609
4,Specimen4,1,C4,Sample7,10/13/2017 5:46:51 PM,1313000,1287660,4780,52530,91952,6584
4,Specimen4,1,D4,Sample8,10/13/2017 5:48:23 PM,1299740,1273840,5640,48150,92861,6600
4,Specimen4,1,E3,Sample9,10/13/2017 5:49:54 PM,19760,4030,190,48311,85608,6191
5,Specimen5,1,A5,Sample1,10/13/2017 5:52:13 PM,37650060,27621540,1940,7029,141,7709
5,Specimen5,1,B5,Sample2,10/13/2017 5:53:44 PM,37617340,27600680,1280,7832,127,7674
5,Specimen5,1,C5,Sample3,10/13/2017 5:55:16 PM,37636740,27534940,420,6086,116,7656
5,Specimen5,1,D5,Sample4,10/13/2017 5:56:47 PM,37468240,27309980,600,5968,115,7592
5,Specimen5,1,A5,Sample5,10/13/2017 5:58:19 PM,37711860,27466200,840,6747,139,7758
5,Specimen5,1,B5,Sample6,10/13/2017 5:59:50 PM,37658260,27400360,440,9411,122,7734
5,Specimen5,1,C5,Sample7,10/13/2017 6:01:22 PM,37682220,27369660,360,5280,115,7752
5,Specimen5,1,D5,Sample8,10/13/2017 6:02:53 PM,37668140,27474120,340,5410,113,7747
5,Specimen5,1,E4,Sample9,10/13/2017 6:04:25 PM,294060,279160,600,11464,917,5893
6,Specimen6,1,A6,Sample1,10/13/2017 6:06:43 PM,12909520,9802000,520,7614,129,6592
6,Specimen6,1,B6,Sample2,10/13/2017 6:08:15 PM,12671360,9598760,560,11573,121,6615
6,Specimen6,1,C6,Sample3,10/13/2017 6:09:46 PM,12432420,9363780,160,5181,117,6548
6,Specimen6,1,D6,Sample4,10/13/2017 6:11:18 PM,12347400,9446020,460,7625,113,6627
6,Specimen6,1,A6,Sample5,10/13/2017 6:12:49 PM,13013780,9835380,320,8767,125,6674
6,Specimen6,1,B6,Sample6,10/13/2017 6:14:21 PM,12952680,9762300,260,7753,117,6628
6,Specimen6,1,C6,Sample7,10/13/2017 6:15:52 PM,12534860,9479560,180,10000,114,6626
6,Specimen6,1,D6,Sample8,10/13/2017 6:17:24 PM,12560340,9448740,260,8050,110,6607
6,Specimen6,1,E5,Sample9,10/13/2017 6:18:56 PM,53430,39550,550,15575,1215,6221
7,Specimen7,1,A7,Sample1,10/13/2017 6:21:14 PM,1365520,1026660,4120,2078,146,7289
7,Specimen7,1,B7,Sample2,10/13/2017 6:22:45 PM,1320540,978520,1700,2105,133,7160
