Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,MixedC_StainedSYTO9,1,A1,Sample1,10/12/2017 8:09:31 PM,524160,6960,143560,61484,44220,3452
1,MixedC_StainedSYTO9,1,A2,Sample2,10/12/2017 8:11:03 PM,474500,4460,119380,80785,92453,4315
1,MixedC_StainedSYTO9,1,A3,Sample3,10/12/2017 8:12:34 PM,427960,8660,142020,64321,86735,3248
1,MixedC_StainedSYTO9,1,A1,Sample4,10/12/2017 8:14:06 PM,438360,4900,114160,66458,80538,3959
1,MixedC_StainedSYTO9,1,A2,Sample5,10/12/2017 8:15:37 PM,455780,5740,114880,84692,67789,3607
1,MixedC_StainedSYTO9,1,A3,Sample6,10/12/2017 8:17:09 PM,455520,7940,135660,65491,86473,3639
1,MixedC_StainedSYTO9,1,G1,Sample10,10/12/2017 8:18:40 PM,161850,1470,390,67756,1138,1111
1,MixedC_StainedSYTO9,1,C1,Sample11,10/12/2017 8:20:58 PM,342420,108140,1200,59498,17324,3964
1,MixedC_StainedSYTO9,1,C2,Sample12,10/12/2017 8:22:30 PM,331760,135660,1460,78358,19113,3836
1,MixedC_StainedSYTO9,1,C3,Sample13,10/12/2017 8:24:01 PM,365560,161780,2500,74612,24941,4012
1,MixedC_StainedSYTO9,1,C1,Sample14,10/12/2017 8:25:33 PM,326040,102380,960,64695,17110,3989
1,MixedC_StainedSYTO9,1,C2,Sample15,10/12/2017 8:27:04 PM,361400,130580,1020,55799,19210,3768
1,MixedC_StainedSYTO9,1,C3,Sample16,10/12/2017 8:28:36 PM,375960,156580,1720,69525,23476,4046
1,MixedC_StainedSYTO9,1,G2,Sample20,10/12/2017 8:30:07 PM,155090,2350,0,0,3127,1402
1,MixedC_StainedSYTO9,1,E1,Sample21,10/12/2017 8:32:26 PM,443560,96640,80900,76767,18899,3709
1,MixedC_StainedSYTO9,1,E2,Sample22,10/12/2017 8:33:57 PM,437320,117420,75780,80368,26772,3592
1,MixedC_StainedSYTO9,1,E3,Sample23,10/12/2017 8:35:29 PM,479960,139440,70320,85710,20000,3685
1,MixedC_StainedSYTO9,1,E1,Sample24,10/12/2017 8:37:00 PM,433160,93000,76380,78888,19947,3702
1,MixedC_StainedSYTO9,1,E2,Sample25,10/12/2017 8:38:32 PM,418080,106560,65700,84265,25942,3521
