Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,Specimen1,1,A1,Sample1,10/5/2017 10:29:33 AM,179617,633,27833,56188,292523,16018
1,Specimen1,1,A2,Sample2,10/5/2017 10:31:14 AM,154700,633,29833,52201,278985,9824
1,Specimen1,1,A3,Sample3,10/5/2017 10:32:54 AM,149933,500,32933,58501,413137,11712
1,Specimen1,1,A1,Sample4,10/5/2017 10:34:35 AM,160767,217,22783,51277,283784,18384
1,Specimen1,1,A2,Sample5,10/5/2017 10:36:16 AM,178533,417,27850,50963,250672,4914
1,Specimen1,1,A3,Sample6,10/5/2017 10:37:56 AM,185467,367,30233,57753,203825,8384
1,Specimen1,1,A1,Sample7,10/5/2017 10:39:37 AM,247200,950,717,3186,893,2159
1,Specimen1,1,A2,Sample8,10/5/2017 10:41:18 AM,248850,783,683,8878,812,2112
1,Specimen1,1,A3,Sample9,10/5/2017 10:42:59 AM,271833,1050,667,3492,1094,2581
1,Specimen1,1,B1,Sample55,10/5/2017 10:44:39 AM,16120,210,400,13435,2321,12309
1,Specimen1,1,B2,Sample56,10/5/2017 10:46:58 AM,14820,70,240,94452,16295,24042
1,Specimen1,1,B3,Sample57,10/5/2017 10:49:16 AM,15860,80,360,45564,2534,6662
1,Specimen1,1,C1,Sample10,10/5/2017 10:51:34 AM,1978600,1830933,15450,17272,1813,8466
1,Specimen1,1,C2,Sample11,10/5/2017 10:53:15 AM,2169050,2050833,21083,19419,3259,8298
1,Specimen1,1,C3,Sample12,10/5/2017 10:54:56 AM,2335667,2220333,23200,20294,3003,8101
1,Specimen1,1,C1,Sample13,10/5/2017 10:56:37 AM,1895833,1736217,15783,15954,1687,8514
1,Specimen1,1,C2,Sample14,10/5/2017 10:58:17 AM,2260267,2097633,21550,17774,3117,8335
1,Specimen1,1,C3,Sample15,10/5/2017 10:59:58 AM,2540633,2378983,24867,18898,2868,8095
1,Specimen1,1,C1,Sample16,10/5/2017 11:01:39 AM,303700,1017,483,2179,868,2491
1,Specimen1,1,C2,Sample17,10/5/2017 11:03:19 AM,241967,1533,1133,31239,5333,11421
1,Specimen1,1,C3,Sample18,10/5/2017 11:05:00 AM,272233,1050,517,2078,632,1942
1,Specimen1,1,D1,Sample58,10/5/2017 11:06:41 AM,15340,10,670,53424,2633,7638
1,Specimen1,1,D2,Sample59,10/5/2017 11:09:00 AM,16770,60,740,47898,2521,4602
1,Specimen1,1,D3,Sample60,10/5/2017 11:11:18 AM,16640,70,470,55124,1196,2632
1,Specimen1,1,E1,Sample19,10/5/2017 11:13:36 AM,2404567,2184317,45217,21850,3276,8232
1,Specimen1,1,E2,Sample20,10/5/2017 11:15:17 AM,2352350,2198550,38283,22044,2693,8435
1,Specimen1,1,E3,Sample21,10/5/2017 11:16:58 AM,2468700,2340650,27150,24784,2446,8086
1,Specimen1,1,E1,Sample22,10/5/2017 11:18:39 AM,2358200,2133867,46300,19439,3080,8133
1,Specimen1,1,E2,Sample23,10/5/2017 11:20:20 AM,2432300,2237100,39433,20971,2560,8358
1,Specimen1,1,E3,Sample24,10/5/2017 11:22:00 AM,2702917,2525617,30683,23873,2370,8051
1,Specimen1,1,E1,Sample25,10/5/2017 11:23:41 AM,248433,2467,1717,20754,3927,6882
1,Specimen1,1,E2,Sample26,10/5/2017 11:25:22 AM,262733,1017,633,28415,1497,3062
